order,avg length,B_time,BPlus_time,BStar_time
2060,168877,6,5,6
2061,168877,6,5,6
2062,168877,6,5,6
2063,168877,6,5,6
2064,168877,6,5,6
2065,168877,6,5,6
2066,168877,6,5,6
2067,168877,6,5,6
2068,168877,6,5,6
2069,168877,6,5,6
2070,168877,6,5,6
2071,168877,6,6,6
2072,168877,6,5,6
2073,168877,6,5,6
2074,168877,6,5,6
2075,168877,6,5,6
2076,168877,6,5,6
2077,168877,6,5,6
2078,168877,6,5,6
2079,168877,6,5,6
2080,168877,6,6,6
2081,168877,6,5,6
2082,168877,6,5,6
2083,168877,6,5,6
2084,168877,6,5,6
2085,168877,6,5,6
2086,168877,5,5,6
2087,168877,6,5,6
2088,168877,6,5,6
2089,168877,6,5,6
2090,168877,6,5,6
2091,168877,6,5,6
2092,168877,6,5,6
2093,168877,6,5,6
2094,168877,6,5,6
2095,168877,6,5,6
2096,168877,6,5,6
2097,168877,6,5,6
2098,168877,6,5,6
2099,168877,6,5,6
2100,168877,6,5,6
2101,168877,6,5,6
2102,168877,6,5,6
2103,168877,6,5,6
2104,168877,6,5,6
2105,168877,6,5,6
2106,168877,6,5,6
2107,168877,6,6,6
2108,168877,6,5,6
2109,168877,6,5,6
2110,168877,6,5,6
2111,168877,6,5,6
2112,168877,6,5,6
2113,168877,6,5,6
2114,168877,6,5,6
2115,168877,6,5,6
2116,168877,6,5,6
2117,168877,6,5,6
2118,168877,6,5,6
2119,168877,6,5,6
2120,168877,6,5,6
2121,168877,6,5,6
2122,168877,6,5,6
2123,168877,6,5,6
2124,168877,6,5,6
2125,168877,6,5,6
2126,168877,6,5,6
2127,168877,6,5,6
2128,168877,6,5,6
2129,168877,6,5,6
2130,168877,6,5,6
2131,168877,6,5,6
2132,168877,6,5,6
2133,168877,6,5,6
2134,168877,6,5,6
2135,168877,6,5,6
2136,168877,6,5,6
2137,168877,6,5,6
2138,168877,6,5,6
2139,168877,6,5,6
2140,168877,6,5,6
2141,168877,6,5,6
2142,168877,6,5,6
2143,168877,6,5,6
2144,168877,6,5,6
2145,168877,6,5,7
2146,168877,6,5,6
2147,168877,6,5,6
2148,168877,6,5,6
2149,168877,6,5,6
2150,168877,6,5,6
